iter	Passed	Remaining
406	6697	9758
407	6713	9741
408	6728	9721
409	6745	9706
410	6760	9688
411	6776	9671
412	6792	9654
413	6808	9637
414	6824	9620
415	6840	9602
416	6856	9586
417	6872	9568
418	6887	9551
419	6903	9533
420	6918	9515
421	6934	9497
422	6949	9480
423	6964	9461
424	6979	9443
425	6995	9425
426	7012	9409
427	7027	9392
428	7042	9374
429	7056	9354
430	7072	9337
431	7088	9319
432	7103	9302
433	7119	9284
434	7135	9267
435	7150	9249
436	7166	9233
437	7183	9216
438	7199	9200
439	7216	9184
440	7231	9166
441	7246	9148
442	7262	9131
443	7278	9114
444	7295	9098
445	7313	9085
446	7331	9069
447	7349	9055
448	7368	9042
449	7386	9027
450	7401	9010
451	7418	8993
452	7433	8975
453	7450	8959
454	7465	8942
455	7481	8925
456	7496	8907
457	7512	8890
458	7528	8873
459	7540	8852
460	7555	8834
461	7571	8816
462	7586	8798
463	7601	8781
464	7618	8765
465	7634	8748
466	7650	8731
467	7667	8715
468	7683	8698
469	7698	8681
470	7712	8662
471	7728	8645
472	7745	8629
473	7761	8612
474	7776	8594
475	7792	8578
476	7808	8561
477	7824	8544
478	7839	8526
479	7855	8509
480	7870	8492
481	7887	8476
482	7903	8459
483	7918	8441
484	7932	8422
485	7948	8406
486	7964	8389
487	7980	8372
488	7996	8356
489	8012	8339
490	8027	8322
491	8044	8305
492	8059	8288
493	8075	8271
494	8091	8254
495	8103	8234
496	8118	8216
497	8134	8199
498	8149	8182
499	8165	8165
500	8181	8148
501	8197	8132
502	8213	8115
503	8230	8099
504	8246	8082
505	8262	8066
506	8279	8050
507	8295	8034
508	8310	8016
509	8327	8000
510	8342	7983
511	8358	7966
512	8374	7950
513	8389	7932
514	8406	7916
515	8421	7899
516	8436	7882
517	8453	7865
518	8468	7848
519	8484	7832
520	8500	7815
521	8516	7798
522	8532	7782
523	8547	7764
524	8562	7747
525	8578	7730
526	8593	7713
527	8609	7696
528	8624	7678
529	8638	7660
530	8653	7643
531	8669	7626
532	8684	7609
533	8697	7590
534	8712	7572
535	8727	7555
536	8743	7538
537	8759	7521
538	8775	7505
539	8790	7488
540	8807	7472
541	8823	7456
542	8842	7442
543	8860	7427
544	8878	7412
545	8896	7397
546	8913	7381
547	8930	7366
548	8949	7351
549	8965	7335
550	8980	7318
551	8996	7301
552	9012	7284
553	9026	7267
554	9042	7249
555	9057	7232
556	9073	7216
557	9087	7198
558	9102	7181
559	9119	7164
560	9134	7148
561	9149	7131
562	9165	7114
563	9181	7097
564	9197	7081
565	9213	7064
566	9229	7048
567	9244	7031
568	9259	7014
569	9275	6997
570	9291	6980
571	9308	6965
572	9324	6948
573	9340	6932
574	9356	6915
575	9373	6899
576	9389	6883
577	9404	6866
578	9420	6849
579	9436	6833
580	9452	6816
581	9468	6800
582	9485	6784
583	9502	6768
584	9517	6751
585	9532	6734
586	9548	6718
587	9564	6701
588	9581	6685
589	9597	6669
590	9612	6652
591	9627	6635
592	9643	6618
593	9658	6601
594	9673	6584
595	9689	6567
596	9705	6551
597	9719	6534
598	9735	6517
599	9750	6500
600	9763	6481
601	9779	6465
602	9795	6448
603	9810	6432
604	9827	6416
605	9843	6399
606	9859	6383
607	9875	6367
608	9890	6350
609	9905	6333
610	9921	6316
611	9938	6300
612	9953	6284
613	9970	6268
614	9986	6251
615	10002	6235
616	10018	6219
617	10034	6202
618	10049	6185
619	10066	6169
620	10082	6153
621	10098	6136
622	10114	6120
623	10130	6104
624	10146	6087
625	10161	6070
626	10178	6055
627	10193	6038
628	10208	6021
629	10225	6005
630	10240	5988
631	10256	5972
632	10272	5955
633	10288	5939
634	10304	5923
635	10320	5906
636	10336	5890
637	10351	5873
638	10368	5857
639	10384	5841
640	10403	5826
641	10418	5809
642	10437	5794
643	10455	5779
644	10473	5764
645	10490	5748
646	10506	5732
647	10520	5714
648	10536	5698
649	10549	5680
650	10565	5664
651	10580	5647
652	10596	5630
653	10611	5613
654	10627	5597
655	10643	5581
656	10659	5564
657	10675	5548
658	10689	5531
659	10705	5515
660	10721	5498
661	10734	5481
662	10750	5464
663	10766	5447
664	10781	5431
665	10797	5414
666	10813	5398
667	10829	5382
668	10845	5365
669	10861	5349
670	10878	5333
671	10894	5317
672	10910	5301
673	10926	5284
674	10941	5268
675	10957	5251
676	10973	5235
677	10989	5219
678	11006	5203
679	11022	5186
680	11038	5170
681	11055	5154
682	11071	5138
683	11086	5121
684	11103	5105
685	11118	5089
686	11135	5073
687	11151	5057
688	11167	5040
689	11183	5024
690	11199	5008
691	11215	4991
692	11232	4975
693	11247	4959
694	11263	4942
695	11278	4926
696	11295	4910
697	11311	4893
698	11327	4877
699	11342	4861
700	11359	4845
701	11374	4828
702	11390	4812
703	11405	4795
704	11421	4779
705	11436	4762
706	11451	4745
707	11465	4728
708	11481	4712
709	11496	4695
710	11512	4679
711	11527	4662
712	11541	4645
713	11558	4629
714	11573	4613
715	11589	4597
716	11605	4580
717	11620	4564
718	11633	4546
719	11649	4530
720	11664	4513
721	11680	4497
722	11696	4481
723	11712	4465
724	11729	4448
725	11745	4432
726	11761	4416
727	11777	4400
728	11792	4383
729	11808	4367
730	11824	4351
731	11840	4334
732	11856	4318
733	11872	4302
734	11888	4286
735	11904	4269
736	11920	4253
737	11937	4238
738	11960	4224
739	11978	4208
740	11995	4192
741	12011	4176
742	12029	4160
743	12046	4145
744	12063	4128
745	12078	4112
746	12093	4096
747	12110	4079
748	12126	4063
749	12142	4047
750	12158	4031
751	12174	4015
752	12191	3999
753	12206	3982
754	12221	3966
755	12238	3949
756	12253	3933
757	12267	3916
758	12283	3900
759	12298	3883
760	12315	3867
761	12331	3851
762	12348	3835
763	12363	3819
764	12380	3803
765	12395	3786
766	12411	3770
767	12427	3754
768	12444	3738
769	12461	3722
770	12477	3706
771	12493	3689
772	12509	3673
773	12522	3656
774	12537	3639
775	12554	3623
776	12569	3607
777	12584	3591
778	12600	3574
779	12615	3558
780	12632	3542
781	12648	3526
782	12666	3510
783	12682	3494
784	12697	3477
785	12714	3461
786	12731	3445
787	12746	3429
788	12762	3412
789	12778	3396
790	12795	3380
791	12810	3364
792	12827	3348
793	12843	3332
794	12858	3315
795	12875	3299
796	12890	3283
797	12913	3268
798	12931	3253
799	12950	3237
800	12965	3221
801	12981	3204
802	12997	3188
803	13012	3172
804	13027	3155
805	13043	3139
806	13059	3123
807	13074	3106
808	13091	3090
809	13107	3074
810	13122	3058
811	13138	3042
812	13155	3026
813	13171	3009
814	13189	2993
815	13205	2977
816	13219	2961
817	13234	2944
818	13250	2928
819	13266	2912
820	13282	2895
821	13298	2879
822	13313	2863
823	13330	2847
824	13346	2831
825	13362	2814
826	13377	2798
827	13393	2782
828	13409	2766
829	13425	2749
830	13441	2733
831	13456	2717
832	13472	2701
833	13488	2684
834	13508	2669
835	13528	2653
836	13545	2637
837	13562	2621
838	13578	2605
839	13596	2589
840	13612	2573
841	13628	2557
842	13644	2541
843	13659	2524
844	13675	2508
845	13691	2492
846	13707	2476
847	13722	2459
848	13739	2443
849	13754	2427
850	13769	2410
851	13784	2394
852	13798	2377
853	13814	2361
854	13832	2345
855	13848	2329
856	13864	2313
857	13880	2297
858	13898	2281
859	13917	2265
860	13935	2249
861	13952	2233
862	13966	2217
863	13984	2201
864	14002	2185
865	14019	2169
866	14035	2153
867	14051	2136
868	14066	2120
869	14082	2104
870	14098	2088
871	14115	2071
872	14132	2055
873	14148	2039
874	14164	2023
875	14182	2007
876	14197	1991
877	14213	1975
878	14231	1959
879	14253	1943
880	14272	1927
881	14290	1911
882	14308	1895
883	14327	1880
884	14354	1865
885	14380	1850
886	14401	1834
887	14422	1819
888	14440	1803
889	14459	1787
890	14478	1771
891	14498	1755
892	14510	1738
893	14529	1722
894	14547	1706
895	14564	1690
896	14580	1674
897	14596	1657
898	14611	1641
899	14626	1625
900	14642	1608
901	14658	1592
902	14674	1576
903	14690	1560
904	14706	1543
905	14722	1527
906	14737	1511
907	14752	1494
908	14769	1478
909	14785	1462
910	14800	1445
911	14816	1429
912	14832	1413
913	14849	1397
914	14865	1380
915	14877	1364
916	14893	1348
917	14909	1331
918	14925	1315
919	14940	1299
920	14955	1282
921	14972	1266
922	14987	1250
923	15003	1234
924	15019	1217
925	15035	1201
926	15049	1185
927	15067	1169
928	15085	1152
929	15104	1136
930	15122	1120
931	15137	1104
932	15157	1088
933	15173	1072
934	15189	1055
935	15205	1039
936	15221	1023
937	15236	1007
938	15252	990
939	15267	974
940	15282	958
941	15298	941
942	15314	925
943	15330	909
944	15346	893
945	15364	877
946	15380	860
947	15396	844
948	15412	828
949	15428	812
950	15443	795
951	15459	779
952	15475	763
953	15490	746
954	15506	730
955	15522	714
956	15538	698
957	15554	681
958	15569	665
959	15584	649
960	15598	633
961	15615	616
962	15630	600
963	15646	584
964	15662	568
965	15678	551
966	15694	535
967	15709	519
968	15725	503
969	15741	486
970	15757	470
971	15774	454
972	15790	438
973	15807	421
974	15823	405
975	15838	389
976	15851	373
977	15866	356
978	15882	340
979	15898	324
980	15913	308
981	15929	291
982	15945	275
983	15960	259
984	15973	243
985	15988	227
986	16004	210
987	16020	194
988	16036	178
989	16051	162
990	16067	145
991	16082	129
992	16098	113
993	16114	97
994	16129	81
995	16145	64
996	16160	48
997	16176	32
998	16193	16
999	16209	0
